,i,j
2141,386,880
2142,386,907
2143,386,939
2144,387,497
2145,387,534
2146,387,569
2147,387,584
2148,388,447
2149,388,550
2150,388,626
2151,388,738
2152,388,811
2153,388,843
2154,388,929
2155,389,488
2156,389,646
2157,389,661
2158,389,757
2159,389,762
2160,390,469
2161,390,545
2162,391,648
2163,391,859
2164,391,996
2165,392,423
2166,392,494
2167,392,587
2168,392,709
2169,392,771
2170,392,772
2171,392,805
2172,392,861
2173,393,467
2174,393,541
2175,393,866
2176,394,647
2177,394,648
2178,394,664
2179,394,810
2180,394,850
2181,395,560
2182,396,610
2183,397,551
2184,397,851
2185,398,678
2186,398,734
2187,398,776
2188,399,566
2189,399,643
2190,399,659
2191,399,993
2192,400,439
2193,400,508
2194,400,510
2195,400,641
2196,400,687
2197,400,803
2198,400,903
2199,400,978
2200,401,422
2201,401,467
2202,401,513
2203,401,518
2204,401,885
2205,401,909
2206,402,409
2207,402,604
2208,402,904
2209,402,937
2210,403,461
2211,403,678
2212,404,876
2213,405,443
2214,405,689
2215,406,790
2216,406,837
2217,406,853
2218,408,455
2219,408,700
2220,408,863
2221,408,931
2222,409,640
2223,409,738
2224,409,799
2225,409,830
2226,409,856
2227,409,947
2228,410,419
2229,410,564
2230,410,642
2231,410,685
2232,410,922
2233,411,473
2234,412,876
2235,413,566
2236,413,635
2237,413,653
2238,413,702
2239,413,779
2240,413,834
2241,413,993
2242,414,435
2243,414,439
2244,414,467
2245,414,962
2246,415,594
2247,415,957
2248,415,999
2249,416,971
2250,417,441
2251,417,570
2252,417,695
2253,417,700
2254,418,706
2255,418,856
2256,418,936
2257,419,428
2258,419,435
2259,419,458
2260,419,493
2261,419,503
2262,419,578
2263,419,591
2264,419,661
2265,419,836
2266,419,861
2267,419,868
2268,419,879
2269,420,524
2270,420,564
2271,420,770
2272,421,428
2273,421,636
2274,421,696
2275,422,488
2276,422,524
2277,422,558
2278,422,812
2279,422,881
2280,422,885
2281,423,427
2282,423,498
2283,423,531
2284,423,558
2285,423,623
2286,423,646
2287,423,842
2288,424,482
2289,424,567
2290,424,646
2291,424,733
2292,424,764
2293,424,772
2294,424,837
2295,424,901
2296,425,482
2297,425,846
2298,425,913
2299,425,922
2300,425,962
2301,426,435
2302,426,495
2303,426,557
2304,426,790
2305,426,801
2306,427,456
2307,427,531
2308,427,534
2309,427,572
2310,427,697
2311,427,742
2312,428,503
2313,428,558
2314,428,680
2315,429,468
2316,430,610
2317,431,581
2318,431,720
2319,431,830
2320,431,856
2321,431,937
2322,432,571
2323,432,634
2324,432,841
2325,432,864
2326,432,870
2327,432,904
2328,432,921
2329,433,608
2330,433,698
2331,433,780
2332,433,843
2333,433,849
2334,433,889
2335,434,460
2336,434,498
2337,434,613
2338,434,649
2339,434,928
2340,435,541
2341,435,837
2342,435,875
2343,435,921
2344,436,476
2345,436,670
2346,436,700
2347,436,747
2348,436,770
2349,436,948
2350,436,959
2351,437,462
2352,437,598
2353,437,730
2354,437,963
2355,438,661
2356,438,707
2357,438,960
2358,439,493
2359,439,557
2360,439,642
2361,439,675
2362,439,835
2363,439,992
2364,440,481
2365,440,494
2366,440,503
2367,440,709
2368,440,711
2369,441,518
2370,441,532
2371,441,552
2372,441,694
2373,441,829
2374,441,867
2375,442,469
2376,442,953
2377,443,626
2378,443,643
2379,444,561
2380,444,564
2381,444,962
2382,445,579
2383,445,620
2384,445,643
2385,445,702
2386,445,936
2387,446,671
2388,446,693
2389,446,732
2390,446,913
2391,447,525
2392,448,459
2393,448,496
2394,448,579
2395,448,645
2396,448,926
2397,448,949
2398,448,950
2399,448,983
2400,450,580
2401,450,667
2402,450,673
2403,450,782
2404,450,822
2405,450,835
2406,450,882
2407,450,905
2408,450,978
2409,450,981
2410,451,617
2411,451,638
2412,451,652
2413,451,732
2414,451,916
2415,451,959
2416,451,976
2417,451,985
2418,452,603
2419,452,894
2420,452,927
2421,452,936
2422,453,598
2423,453,624
2424,453,628
2425,453,732
2426,453,863
2427,453,930
2428,453,959
2429,454,576
2430,454,706
2431,455,705
2432,455,931
2433,455,959
2434,455,976
2435,455,984
2436,456,512
2437,456,560
2438,456,595
2439,456,650
2440,456,760
2441,456,928
2442,456,977
2443,458,589
2444,458,662
2445,458,709
2446,458,714
2447,458,784
2448,458,879
2449,458,918
2450,459,495
2451,459,505
2452,459,508
2453,459,837
2454,460,498
2455,460,840
2456,460,909
2457,460,975
2458,460,977
2459,461,701
2460,461,879
2461,462,705
2462,462,998
2463,463,613
2464,463,850
2465,463,969
2466,464,899
2467,466,778
2468,467,751
2469,468,629
2470,469,492
2471,469,694
2472,469,802
2473,469,863
2474,470,535
2475,470,720
2476,470,946
2477,471,706
2478,471,914
2479,472,596
2480,472,726
2481,472,880
2482,472,906
2483,472,930
2484,472,947
2485,473,594
2486,474,876
2487,474,935
2488,475,485
2489,475,527
2490,475,625
2491,475,721
2492,475,806
2493,475,916
2494,475,939
2495,476,480
2496,476,528
2497,476,617
2498,477,568
2499,477,628
2500,477,813
2501,477,817
2502,477,900
2503,478,747
2504,478,848
2505,479,676
2506,479,984
2507,480,617
2508,480,638
2509,480,730
2510,480,737
2511,480,817
2512,480,900
2513,480,924
2514,480,948
2515,480,987
2516,481,687
2517,481,752
2518,481,820
2519,481,879
2520,481,957
2521,482,561
2522,482,623
2523,482,710
2524,482,712
2525,482,762
2526,482,922
2527,484,935
2528,485,541
2529,485,596
2530,485,666
2531,485,911
2532,485,958
2533,486,506
2534,486,556
2535,487,527
2536,487,612
2537,487,622
2538,487,817
2539,487,933
2540,487,984
2541,488,601
2542,488,837
2543,488,861
2544,489,505
2545,489,543
2546,489,666
2547,489,726
2548,489,880
2549,489,894
2550,489,982
2551,490,537
2552,490,590
2553,490,648
2554,490,810
2555,490,844
2556,490,860
2557,491,593
2558,491,924
2559,491,953
2560,492,584
2561,492,695
2562,492,802
2563,492,878
2564,493,557
2565,493,667
2566,493,751
2567,493,791
2568,493,821
2569,493,866
2570,493,868
2571,493,882
2572,493,950
2573,494,530
2574,494,572
2575,494,623
2576,494,677
2577,494,733
2578,494,771
2579,494,780
2580,495,641
2581,495,759
2582,495,790
2583,495,875
2584,495,958
2585,496,525
2586,496,904
2587,496,921
2588,496,937
2589,497,534
2590,497,560
2591,497,572
2592,497,695
2593,497,739
2594,497,760
2595,497,814
2596,497,996
2597,498,679
2598,498,780
2599,499,849
2600,499,969
2601,500,504
2602,500,561
2603,500,624
2604,500,666
2605,500,835
2606,501,779
2607,502,560
2608,502,584
2609,502,605
2610,502,607
2611,502,802
2612,503,510
2613,503,541
2614,503,641
2615,503,672
2616,503,724
2617,503,881
2618,504,513
2619,504,708
2620,505,601
2621,505,656
2622,505,790
2623,505,822
2624,505,866
2625,505,905
2626,506,590
2627,506,651
2628,506,898
2629,507,676
2630,508,745
2631,509,530
2632,509,608
2633,509,884
2634,510,578
2635,510,641
2636,510,672
2637,510,752
2638,510,950
2639,510,992
2640,511,702
2641,512,710
2642,512,760
2643,512,814
2644,512,988
2645,514,750
2646,514,877
2647,514,882
2648,514,926
2649,515,719
2650,515,753
2651,515,857
2652,516,525
2653,516,592
2654,516,614
2655,516,983
2656,517,527
2657,517,543
2658,517,670
2659,517,778
2660,517,835
2661,517,841
2662,517,947
2663,518,523
2664,518,546
2665,518,693
2666,518,912
2667,518,940
2668,519,688
2669,519,936
2670,519,946
2671,520,672
2672,520,680
2673,520,879
2674,520,986
2675,521,559
2676,521,560
2677,521,567
2678,521,573
2679,521,746
2680,523,617
2681,523,628
2682,523,817
2683,523,867
2684,524,812
2685,524,846
2686,524,962
2687,525,744
2688,525,766
2689,525,793
2690,526,622
2691,526,704
2692,526,985
2693,527,575
2694,527,722
2695,527,751
2696,527,835
2697,527,866
2698,527,925
2699,527,933
2700,528,717
2701,528,968
2702,529,576
2703,529,622
2704,529,683
2705,529,706
2706,529,718
2707,529,741
2708,529,833
2709,529,998
2710,530,742
2711,530,771
2712,530,827
2713,531,679
2714,531,681
2715,531,697
2716,531,827
2717,531,884
2718,532,961
2719,534,560
2720,534,650
2721,534,789
2722,534,792
2723,535,571
2724,535,937
2725,536,608
2726,536,642
2727,536,646
2728,536,735
2729,536,820
2730,536,903
2731,537,664
2732,537,808
2733,537,839
2734,537,844
2735,537,857
2736,538,566
2737,538,634
2738,538,635
2739,538,779
2740,538,831
2741,538,870
2742,539,713
2743,539,818
2744,539,858
2745,540,738
2746,540,877
2747,541,557
2748,541,791
2749,541,809
2750,541,823
2751,541,992
2752,542,580
2753,542,637
2754,542,665
2755,542,668
2756,542,671
2757,542,767
2758,542,778
2759,542,978
2760,543,596
2761,543,666
2762,543,767
2763,543,770
2764,543,866
2765,543,978
2766,544,593
2767,545,607
2768,545,713
2769,546,622
2770,546,665
2771,546,700
2772,546,959
2773,547,553
2774,547,756
2775,548,778
2776,548,978
2777,550,877
2778,550,926
2779,552,568
2780,552,629
2781,553,736
2782,553,741
2783,553,963
2784,554,684
2785,554,929
2786,555,561
2787,555,965
2788,556,773
2789,556,839
2790,556,890
2791,557,642
2792,557,790
2793,557,809
2794,557,915
2795,557,992
2796,558,578
2797,558,696
2798,558,723
2799,558,724
2800,558,809
2801,558,821
2802,558,837
2803,558,915
2804,559,772
2805,559,808
2806,559,819
2807,559,845
2808,560,567
2809,560,728
2810,560,733
2811,560,869
2812,561,693
2813,561,769
2814,561,885
2815,561,988
2816,562,740
2817,562,987
2818,563,689
2819,563,919
2820,564,606
2821,564,633
2822,564,639
2823,564,710
2824,564,878
2825,564,913
2826,565,653
2827,566,766
2828,566,793
2829,566,838
2830,567,573
2831,567,608
2832,567,623
2833,567,646
2834,567,723
2835,567,746
2836,567,772
2837,567,781
2838,567,988
2839,568,863
2840,569,584
2841,569,618
2842,569,650
2843,569,728
2844,569,760
2845,569,789
2846,569,814
2847,569,945
2848,569,964
2849,570,584
2850,570,605
2851,571,634
2852,571,653
2853,571,669
2854,571,785
2855,571,877
2856,572,710
2857,572,808
2858,572,814
2859,573,802
2860,573,829
2861,573,846
2862,573,965
2863,573,988
2864,574,615
2865,574,718
2866,574,737
2867,575,612
2868,575,640
2869,575,669
2870,575,670
2871,575,708
2872,575,906
2873,575,911
2874,576,588
2875,576,640
2876,576,691
2877,576,942
2878,577,621
2879,577,833
2880,577,848
2881,578,661
2882,578,685
2883,578,759
2884,578,771
2885,578,837
2886,578,868
2887,578,903
2888,578,992
2889,579,720
2890,579,799
2891,580,642
2892,580,661
2893,580,770
2894,580,806
2895,580,837
2896,580,906
2897,580,950
2898,581,720
2899,581,937
2900,582,626
2901,582,632
2902,582,635
2903,583,902
2904,583,914
2905,583,998
2906,584,788
2907,584,934
2908,585,887
2909,586,612
2910,586,763
2911,587,668
2912,587,674
2913,587,686
2914,587,692
2915,587,742
2916,587,762
2917,587,842
2918,588,720
2919,588,954
2920,589,761
2921,589,895
2922,589,957
2923,590,773
2924,591,616
2925,591,790
2926,591,950
2927,591,955
2928,591,978
2929,592,614
2930,592,856
2931,594,647
2932,594,810
2933,594,895
2934,595,824
2935,595,846
2936,596,848
2937,597,767
2938,597,815
2939,597,822
2940,597,925
2941,597,991
2942,598,705
2943,598,740
2944,598,783
2945,599,664
2946,599,957
2947,600,888
2948,600,890
2949,600,928
2950,600,964
2951,601,667
2952,601,782
2953,601,823
2954,602,611
2955,603,688
2956,603,720
2957,603,758
2958,603,936
2959,604,949
2960,606,733
2961,606,827
2962,607,725
2963,607,789
2964,607,802
2965,607,872
2966,608,674
2967,608,752
2968,608,827
2969,609,900
2970,611,919
2971,613,753
2972,613,780
2973,613,795
2974,613,804
2975,614,653
2976,614,943
2977,614,983
2978,615,783
2979,615,900
2980,615,920
2981,616,745
2982,616,759
2983,616,905
2984,617,747
2985,617,930
2986,618,824
2987,620,774
2988,621,927
2989,621,956
2990,622,717
2991,622,939
2992,623,716
2993,623,733
2994,623,805
2995,623,988
2996,624,911
2997,624,961
2998,625,668
2999,625,812
3000,625,981
3001,626,635
3002,626,779
3003,626,793
3004,627,783
3005,628,700
3006,628,863
3007,628,900
3008,628,961
3009,628,965
3010,630,776
3011,631,922
3012,632,689
3013,633,712
3014,633,962
3015,633,975
3016,634,758
3017,634,870
3018,634,910
3019,635,910
3020,636,687
3021,636,805
3022,637,700
3023,637,730
3024,637,939
3025,637,965
3026,638,939
3027,639,675
3028,639,735
3029,639,791
3030,639,843
3031,640,741
3032,640,747
3033,640,942
3034,640,958
3035,641,836
3036,641,866
3037,641,868
3038,641,992
3039,642,716
3040,642,819
3041,642,823
3042,642,842
3043,643,659
3044,643,870
3045,643,983
3046,644,726
3047,645,831
3048,645,946
3049,645,949
3050,645,983
3051,646,674
3052,646,685
3053,646,687
3054,646,764
3055,646,928
3056,649,849
3057,649,977
3058,649,989
3059,650,755
3060,650,789
3061,650,934
3062,651,727
3063,652,722
3064,652,939
3065,653,774
3066,654,839
3067,654,869
3068,655,852
3069,655,948
3070,656,882
3071,656,926
3072,658,839
3073,659,864
3074,659,870
3075,659,979
3076,660,689
3077,660,750
3078,660,943
3079,661,672
3080,661,707
3081,661,801
3082,661,837
3083,661,843
3084,661,881
3085,662,714
3086,662,837
3087,662,874
3088,662,969
3089,663,779
3090,663,786
3091,665,670
3092,665,732
3093,665,806
3094,666,670
3095,666,721
3096,666,880
3097,666,982
3098,667,685
3099,667,696
3100,667,711
3101,667,769
3102,667,969
3103,668,726
3104,668,815
3105,668,885
3106,669,925
3107,669,937
3108,670,894
3109,670,906
3110,671,931
3111,671,940
3112,672,875
3113,672,879
3114,673,868
3115,674,679
3116,674,733
3117,674,742
3118,674,781
3119,674,819
3120,674,913
3121,675,708
3122,675,757
3123,675,982
3124,676,718
3125,676,729
3126,676,847
3127,676,852
3128,676,902
3129,676,995
3130,677,724
3131,677,895
3132,677,901
3133,679,685
3134,679,698
3135,679,761
3136,680,761
3137,680,874
3138,680,957
3139,681,698
3140,682,751
3141,682,821
3142,682,842
3143,683,963
3144,684,834
3145,684,972
3146,685,712
3147,685,761
3148,685,836
3149,687,724
3150,687,821
3151,687,836
3152,687,842
3153,688,720
3154,688,856
3155,689,734
3156,691,952
3157,692,709
3158,692,797
3159,692,922
3160,693,715
3161,693,797
3162,694,755
3163,694,813
3164,696,735
3165,696,761
3166,696,764
3167,696,809
3168,696,861
3169,696,881
3170,697,869
3171,697,872
3172,697,996
3173,698,771
3174,700,721
3175,700,763
3176,700,920
3177,701,719
3178,701,857
3179,701,918
3180,701,967
3181,702,774
3182,702,946
3183,703,997
3184,705,867
3185,706,743
3186,707,745
3187,707,766
3188,708,848
3189,708,880
3190,709,723
3191,709,724
3192,710,771
3193,710,909
3194,711,803
3195,711,889
3196,712,723
3197,712,762
3198,712,821
3199,713,755
3200,713,840
3201,713,858
3202,714,742
3203,714,801
3204,714,803
3205,714,827
3206,714,837
3207,714,881
3208,715,732
3209,715,940
3210,715,965
3211,716,913
3212,717,891
3213,717,984
3214,718,729
3215,718,963
3216,720,942
3217,720,946
3218,721,722
3219,721,770
3220,721,822
3221,721,835
3222,721,907
3223,722,866
3224,722,880
3225,722,961
3226,723,819
3227,723,843
3228,724,801
3229,725,824
3230,726,782
3231,726,925
3232,726,958
3233,727,839
3234,727,974
3235,728,814
3236,728,996
3237,730,948
3238,730,961
3239,730,987
3240,732,829
3241,732,911
3242,732,931
3243,732,976
3244,733,769
3245,733,820
3246,733,842
3247,734,796
3248,734,908
3249,735,782
3250,737,893
3251,738,745
3252,738,838
3253,738,906
3254,738,910
3255,738,926
3256,738,981
3257,741,941
3258,741,956
3259,743,848
3260,744,870
3261,744,921
3262,744,993
3263,745,784
3264,745,801
3265,746,802
3266,746,840
3267,746,884
3268,746,922
3269,747,830
3270,748,770
3271,748,907
3272,751,757
3273,751,819
3274,751,950
3275,752,803
3276,754,797
3277,754,977
3278,755,825
3279,756,763
3280,756,788
3281,756,813
3282,756,916
3283,756,920
3284,756,973
3285,756,995
3286,757,823
3287,757,992
3288,758,983
3289,759,906
3290,761,868
3291,761,969
3292,763,813
3293,763,987
3294,763,995
3295,764,771
3296,764,805
3297,764,812
3298,764,988
3299,764,989
3300,765,811
3301,767,778
3302,768,832
3303,768,935
3304,769,915
3305,770,806
3306,770,959
3307,771,889
3308,772,849
3309,772,989
3310,774,983
3311,775,794
3312,777,832
3313,778,835
3314,778,866
3315,778,981
3316,780,898
3317,781,846
3318,781,965
3319,782,822
3320,782,835
3321,782,950
3322,782,962
3323,782,978
3324,783,900
3325,783,917
3326,783,952
3327,784,801
3328,784,837
3329,784,843
3330,784,861
3331,784,929
3332,784,955
3333,784,986
3334,785,864
3335,786,816
3336,787,832
3337,787,951
3338,787,953
3339,789,824
3340,790,868
3341,791,801
3342,791,821
3343,791,933
3344,793,843
3345,793,875
3346,793,960
3347,794,853
3348,794,960
3349,795,974
3350,797,858
3351,797,959
3352,799,838
3353,799,882
3354,799,906
3355,801,837
3356,802,846
3357,802,961
3358,803,823
3359,803,836
3360,804,897
3361,805,842
3362,805,861
3363,806,866
3364,806,906
3365,812,985
3366,812,988
3367,813,829
3368,813,863
3369,813,886
3370,815,868
3371,815,875
3372,816,908
3373,818,825
3374,819,836
3375,819,881
3376,820,861
3377,821,843
3378,822,841
3379,822,978
3380,823,915
3381,824,872
3382,825,951
3383,827,836
3384,827,845
3385,828,891
3386,828,914
3387,829,867
3388,829,878
3389,829,886
3390,831,870
3391,831,937
3392,832,932
3393,833,927
3394,834,864
3395,834,938
3396,835,885
3397,835,930
3398,836,923
3399,837,950
3400,838,949
3401,842,861
3402,842,868
3403,843,853
3404,843,905
3405,843,955
3406,843,966
3407,845,855
3408,847,954
3409,847,998
3410,851,859
3411,853,910
3412,854,888
3413,854,934
3414,856,894
3415,856,936
3416,857,918
3417,858,886
3418,858,945
3419,858,961
3420,860,890
3421,861,903
3422,861,950
3423,862,912
3424,862,962
3425,863,934
3426,863,961
3427,864,926
3428,865,987
3429,868,921
3430,869,974
3431,870,904
3432,871,929
3433,871,967
3434,872,898
3435,873,942
3436,873,956
3437,880,982
3438,882,958
3439,885,892
3440,885,933
3441,889,895
3442,889,969
3443,891,902
3444,891,963
3445,892,939
3446,895,897
3447,898,996
3448,900,920
3449,900,948
3450,902,941
3451,906,925
3452,906,981
3453,907,914
3454,909,989
3455,910,949
3456,911,916
3457,911,931
3458,912,922
3459,912,988
3460,914,956
3461,916,965
3462,917,973
3463,917,987
3464,920,931
3465,920,948
3466,922,985
3467,925,958
3468,925,978
3469,925,982
3470,932,953
3471,933,985
3472,935,970
3473,937,991
3474,939,985
3475,948,973
3476,948,997
3477,950,978
3478,955,966
3479,956,963
3480,957,994
3481,960,967
3482,961,965
3483,961,973
3484,963,980
3485,965,976
3486,967,979
3487,984,987
3488,984,995
3489,986,992
